project,cve_id,cwes,categories,num_categories
argo_cd,CVE-2022-24730,"CWE-22, CWE-284, CWE-22, CWE-863","File Management, Permission",2
argo_cd,CVE-2022-24731,"CWE-22, CWE-284, CWE-22, CWE-209","Error Handling and Logging, File Management, Permission",3
argo_cd,CVE-2022-24768,"CWE-200, CWE-862","Data Protection, Permission",2
argo_cd,CVE-2023-40029,"CWE-200, CWE-532","Data Protection, Error Handling and Logging",2
argo_cd,CVE-2025-23216,"CWE-200, CWE-209, CWE-209","Data Protection, Error Handling and Logging",2
github,CVE-2021-22867,"CWE-77, CWE-22","File Management, Input Validation",2
github,CVE-2021-22868,"CWE-77, CWE-22","File Management, Input Validation",2
github,CVE-2023-23763,"CWE-200, CWE-862","Data Protection, Permission",2
gitlab,CVE-2017-0882,"CWE-639, CWE-200","Data Protection, Permission",2
gitlab,CVE-2019-9222,"CWE-22, CWE-732","File Management, Permission",2
gitlab,CVE-2019-5463,"CWE-200, CWE-200, CWE-862","Data Protection, Permission",2
gitlab,CVE-2019-11547,"CWE-79, CWE-116","Input Validation, Output Encoding",2
gitlab,CVE-2019-15576,"CWE-200, CWE-862","Data Protection, Permission",2
gitlab,CVE-2019-5470,"CWE-200, CWE-862","Data Protection, Permission",2
gitlab,CVE-2019-5472,"CWE-400, CWE-269","Coding Practices, Permission",2
gitlab,CVE-2019-13009,"CWE-400, CWE-732","Coding Practices, Permission",2
gitlab,CVE-2020-26409,"CWE-20, CWE-400","Coding Practices, Input Validation",2
gitlab,CVE-2020-26415,"CWE-200, CWE-862","Data Protection, Permission",2
gitlab,CVE-2022-3411,"CWE-1284, CWE-400","Coding Practices, Input Validation",2
gitlab,CVE-2023-1071,"CWE-863, CWE-400","Coding Practices, Permission",2
gitlab,CVE-2023-2200,"CWE-116, CWE-79","Input Validation, Output Encoding",2
jenkins,CVE-2017-2613,"CWE-770, CWE-352","Coding Practices, Permission",2
